ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
3,103,255.09580838323353,699.2155688622754,0,103
3,104,229.74534161490683,700.4409937888199,0,104
3,105,825.5071090047394,709.5213270142181,0,105
3,106,267.7076923076923,715.0961538461538,0,106
3,107,291.2393162393162,724.9935897435897,0,107
3,108,339.62459546925567,728.15857605178,0,108
3,109,237.3587786259542,721.1374045801526,0,109
3,110,750.7004830917874,728.8309178743962,0,110
3,111,315.42396313364054,733.6221198156682,0,111
3,112,259.1285140562249,742.1244979919679,0,112
3,113,292.26339285714283,750.0982142857143,0,113
3,114,315.87465940054494,759.6784741144414,0,114
3,115,754.0883977900553,759.0662983425415,0,115
3,116,645.8380952380952,758.3714285714286,0,116
3,117,330.227027027027,779.7135135135135,0,117
3,118,316.15384615384613,777.4134615384615,0,118
3,119,663.5024630541872,777.743842364532,0,119
3,120,301.25069637883007,803.4456824512534,0,120
3,121,395.1796407185629,810.2814371257485,0,121
3,122,354.1825095057034,818.4068441064638,0,122
3,123,209.82698961937717,829.8339100346021,0,123
3,124,385.625,830.8257575757576,0,124
3,125,665.0497237569061,831.9447513812155,0,125
3,126,409.95108695652175,831.6902173913044,0,126
3,127,635.535294117647,845.6735294117647,0,127
3,128,663.3351063829788,860.3191489361702,0,128
3,129,184.67201426024957,871.2869875222816,0,129
3,130,878.7115384615385,866.4230769230769,0,130
3,131,637.7901234567901,867.9218106995885,0,131
3,132,602.3586626139818,873.1945288753799,0,132
3,133,613.375,888.2878787878788,0,133
3,134,653.9812030075188,892.2857142857143,0,134
3,135,634.2122641509434,897.6462264150944,0,135
3,136,868.2796208530806,897.5829383886256,0,136
3,137,190.13513513513513,896.1081081081081,0,137
3,138,147.95666666666668,905.3,0,138
3,139,681.4824561403509,900.2324561403509,0,139
3,140,171.996015936255,907.5258964143426,0,140
3,141,81.79352226720648,910.1781376518219,0,141
3,142,561.3828571428571,903.0057142857142,0,142
3,143,300.9714285714286,912.2444444444444,0,143
3,144,266.8255033557047,918.2785234899329,0,144
3,145,189.16129032258064,913.4408602150538,0,145
3,146,533.4046511627907,914.9209302325581,0,146
3,147,207.76436781609195,917.6436781609195,0,147
3,148,66.43653250773994,924.5603715170279,0,148
3,149,641.4641148325359,923.4976076555024,0,149
3,150,561.4451827242525,923.9734219269103,0,150
3,151,192.90666666666667,931.1688888888889,0,151
3,152,100.6304347826087,936.1485507246376,0,152
3,153,531.6778523489933,938.9597315436241,0,153
3,154,64.33003300330033,956.4257425742575,0,154
3,155,93.64,954.2033333333334,0,155
3,156,46.70676691729323,968.8020050125314,0,156
3,157,886.5238095238095,966.0408163265306,0,157
3,158,861.6962962962963,971.5777777777778,0,158
3,159,119.74524714828897,973.5095057034221,0,159
4,1,385.5739910313901,88.47085201793722,0,1
4,2,362.88584474885846,97.20091324200914,0,2
4,3,405.5436507936508,109.83333333333333,0,3
4,4,383.77927927927925,117.49549549549549,0,4
4,5,420.42583732057415,134.62200956937798,0,5
4,6,394.29411764705884,137.8109243697479,0,6
4,7,524.3511904761905,223.22619047619048,0,7
4,8,530.5060240963855,247.12048192771084,0,8
4,9,452.9709677419355,288.5064516129032,0,9
4,10,438.375,305.13,0,10
4,11,467.61176470588236,322.0156862745098,0,11
4,12,447.9864864864865,329.86036036036035,0,12
4,13,245.3709677419355,429.2774193548387,0,13
4,14,270.03065134099614,425.2107279693487,0,14
4,15,261.87311178247734,456.10271903323263,0,15
4,16,282.0380228136882,452.5209125475285,0,16
4,17,850.125,511.12142857142857,0,17
4,18,834.4622641509434,535.1084905660377,0,18
4,19,778.9770491803279,610.8065573770492,0,19
4,20,449.3,618.7705882352941,0,20
4,21,798.2046204620463,635.6006600660066,0,21
4,22,417.68035190615836,645.7536656891496,0,22
4,23,255.23048327137548,792.0706319702603,0,23
4,24,276.31627906976746,799.6372093023256,0,24
