ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
8,35,150.4331896551724,634.2478448275862,0,35
8,36,106.69098712446352,652.0708154506437,0,36
8,37,330.71007751937987,706.2558139534884,0,37
8,38,777.1039874902267,795.4136043784206,0,38
8,39,245.8153153153153,768.2987987987988,0,39
8,40,235.1983935742972,789.566265060241,0,40
8,41,165.67628205128204,818.7580128205128,0,41
8,42,180.64356435643563,808.1287128712871,0,42
8,43,468.0017730496454,825.0124113475177,0,43
8,44,187.6085626911315,829.4113149847095,0,44
8,45,669.1097046413502,850.590717299578,0,45
9,1,835.0973282442748,102.72328244274809,0,1
9,2,707.3098159509202,176.49795501022496,0,2
9,3,873.1146384479717,196.1058201058201,0,3
9,4,692.8210227272727,320.2713068181818,0,4
9,5,770.9894067796611,317.0974576271187,0,5
9,6,754.081352833638,346.3235831809872,0,6
9,7,975.71875,373.75,0,7
9,8,683.7873563218391,428.3374384236453,0,8
9,9,720.4495192307693,424.3269230769231,0,9
9,10,762.3736089030207,436.90302066772654,0,10
9,11,696.0060240963855,433.90361445783134,0,11
9,12,695.2868167202572,489.59485530546624,0,12
9,13,764.6164302600473,474.5401891252955,0,13
9,14,749.0986775178027,460.48423194303155,0,14
9,15,685.5992063492064,455.78769841269843,0,15
9,16,679.4953764861294,480.48612945838835,0,16
9,17,562.929203539823,472.74778761061947,0,17
9,18,348.79839518555667,458.8134403209629,0,18
9,19,857.7657657657658,466.06306306306305,0,19
9,20,725.7813953488372,513.1038759689923,0,20
9,21,638.7211328976035,558.8747276688454,0,21
9,22,683.5249457700651,565.6334056399132,0,22
9,23,673.3333333333334,533.6212121212121,0,23
